station_id,station_name,station_type,latitude,longitude,observation_time,acquisition_time,temperature_c,temperature_min_c,temperature_max_c,relative_humidity_pct,wind_speed_kmh,wind_speed_ms,wind_direction_deg,pressure_hpa,dewpoint_c,rainfall_mm,rainfall_accum_period,data_source,status
4682B7BA,AGASTYAMUNI,AWS,30.3892,79.0226,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,11.6,23.2,23.7,17.0,10.19,2.83,35.0,925.1,13.9,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46832022,ALMORA,AWS,29.6002,79.6651,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,10.1,23.0,24.9,28.0,4.07,1.13,48.0,,24.7,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
UPAAH000,AMROHA,AWS,28.8523,78.2358,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,30.4,26.6,32.4,82.0,9.26,2.57,66.0,1006.2,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
4682473E,AULI,AWS,30.5361,79.5714,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,2.8,0.0,9.6,15.0,15.19,4.22,68.0,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46820434,BADRINATH,AWS,30.7449,79.4922,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,-11.4,13.0,14.0,35.0,13.7,3.81,46.0,,-8.3,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
55E94D14,BAGESHWAR,AWS,29.8308,79.77,2026-08-29T08:44:04+00:00,2026-09-01T07:07:58.815949+00:00,,,,37.0,5.19,1.44,,,0.0,1.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46832EF0,BAGESHWAR,AWS,29.8381,79.7643,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,11.0,24.7,26.0,21.0,4.63,1.29,9.0,,15.1,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46847CB8,BAJPUR,AWS,29.1349,79.1219,2026-03-13T04:08:21+00:00,2026-09-01T07:07:58.815949+00:00,19.5,22.7,24.1,24.0,4.44,1.23,36.0,1009.7,23.2,45.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46806AF4,BARKOT,AWS,30.8109,78.2135,2026-03-13T04:08:17+00:00,2026-09-01T07:07:58.815949+00:00,8.7,20.2,20.7,37.0,9.45,2.62,40.0,1023.6,11.3,0.5,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
468380DA,BETALGHAT,AWS,29.5525,79.3532,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,13.1,24.8,35.4,20.0,11.3,3.14,51.0,,31.9,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46810DE8,BHAGWANPUR,AWS,29.8046,77.911,2026-03-13T04:08:18+00:00,2026-09-01T07:07:58.815949+00:00,18.5,24.2,27.5,30.0,6.48,1.8,14.0,1003.3,20.2,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4682D25C,BHAINSIYA CHHANA,AWS,29.7003,79.8826,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,10.3,8.1,8.3,26.0,3.15,0.87,330.0,,0.6,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
A0A72AEE,BHARSAR,AWS,30.05,79.0,2026-09-01T00:29:05+00:00,2026-09-01T07:07:58.815949+00:00,17.4,17.2,22.8,100.0,0.0,0.0,,,0.0,19.5,recent_observation,IMD GeoServer (imd:aws_data_layer),RECENT
468306CE,BHIKIYASAIN,AWS,29.6965,79.2692,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,14.1,24.7,25.7,16.0,12.41,3.45,37.0,1007.1,15.6,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
42143,Bijnor,SYNOP,29.62,78.38,2026-09-01T03:40:13+00:00,2026-09-01T07:07:58.815949+00:00,26.4,22.2,30.0,97.0,7.41,2.06,140.0,1005.0,25.8,0.01,24h,IMD GeoServer (imd:synop_data_layer),RECENT
46807750,CHAKRATA,AWS,30.705,77.8625,2026-03-13T04:08:17+00:00,2026-09-01T07:07:58.815949+00:00,13.7,17.0,17.7,32.0,9.63,2.68,56.0,,5.8,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4683DE74,CHALTHI,AWS,29.1974,80.0897,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,19.1,30.0,30.6,16.0,11.67,3.24,13.0,,18.1,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
42117,CHAMOLI,AWS,30.4,79.3167,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,22.6,22.5,27.2,80.0,1.85,0.51,233.0,973.4,0.0,2.5,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
A0A74F08,CHAMPAWAT,AWS,29.34,80.09,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,18.8,18.4,24.8,,12.96,3.6,140.0,,0.0,1.5,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
4683BB92,CHAMPAWAT,AWS,29.3356,80.0915,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,15.4,18.8,19.8,18.0,11.11,3.09,24.0,,19.0,0.5,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4681DB80,CHANDRA BADNI,AWS,30.2941,78.6111,2026-03-13T04:08:18+00:00,2026-09-01T07:07:58.815949+00:00,15.5,19.2,20.1,19.0,13.52,3.76,58.0,,7.6,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
UTBBR000,CHAUBATIA_RANIKHET,AWS,29.6213,79.4591,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,17.4,17.1,22.0,100.0,5.56,1.54,212.0,,0.0,17.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
4682DC8E,CHAUKHUTIYA,AWS,29.8844,79.3502,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,11.9,22.2,23.0,15.0,9.45,2.62,15.0,,17.9,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46804C18,CHINYALISAUR,AWS,30.5769,78.3299,2026-03-13T04:08:17+00:00,2026-09-01T07:07:58.815949+00:00,10.4,30.2,30.5,36.0,10.0,2.78,37.0,,30.3,1.5,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
55DEAAA2,DANAURA,AWS,28.95,78.25,2026-07-27T10:14:04+00:00,2026-09-01T07:07:58.815949+00:00,,,,,9.45,2.62,,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
B489F6DE,DEHRADUN,AWS,30.32,78.05,2026-08-18T16:14:04+00:00,2026-09-01T07:07:58.815949+00:00,,,,93.0,13.7,3.81,,,0.0,7.5,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
VIDN,DEHRADUN Airport,METAR,30.19,78.18,2026-09-01T00:00:00+00:00,2026-09-01T07:07:58.815949+00:00,24.0,,,100.0,5.56,1.54,150.0,1009.0,24.0,0.0,24h,IMD GeoServer (imd:metar_data_layer),RECENT
4683EBEE,DEVIDHURA,AWS,29.4125,79.8653,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,13.6,19.5,20.5,25.0,11.11,3.09,88.0,,6.1,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
55E403AA,DEVPRAYAG,AWS,30.14,78.6,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,25.9,24.6,34.6,91.0,10.19,2.83,,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
468272A4,DEWAL,AWS,30.0758,79.4818,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,9.0,20.7,21.7,14.0,10.37,2.88,23.0,,12.6,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
99918,DHANAURI,AWS,29.93,77.97,2026-03-13T04:07:23+00:00,2026-09-01T07:07:58.815949+00:00,20.8,,37.1,26.0,8.33,2.31,34.0,1014.9,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4681BE66,DHANOLTI,AWS,30.4247,78.2472,2026-03-13T04:08:18+00:00,2026-09-01T07:07:58.815949+00:00,13.1,16.1,16.5,32.0,13.52,3.76,41.0,,9.2,33.5,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46842CC4,DHARCHULA,AWS,29.8501,80.545,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,9.9,26.5,27.3,13.0,12.41,3.45,45.0,,27.3,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4684726A,DIDIHAT,AWS,29.8016,80.2631,2026-03-13T04:08:21+00:00,2026-09-01T07:07:58.815949+00:00,13.2,22.2,22.7,14.0,10.19,2.83,37.0,,4.5,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4682A4CC,DUGALBITTA,AWS,30.4874,79.176,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,7.8,8.8,8.8,15.0,14.63,4.06,75.0,,5.1,2.5,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46845A54,DUGTU,AWS,30.2453,80.5612,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,-7.2,13.5,15.5,37.0,9.26,2.57,60.0,,-7.6,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46806426,DUNDA,AWS,30.705,78.3485,2026-03-13T04:08:17+00:00,2026-09-01T07:07:58.815949+00:00,10.0,21.5,22.0,34.0,9.45,2.62,40.0,,21.6,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4682E7C6,DWARHAT,AWS,29.7795,79.4315,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,11.4,21.7,22.5,18.0,7.96,2.21,35.0,,12.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
42111,Dehradun-Mokhampur,SYNOP,30.32,78.03,2026-09-01T06:24:03+00:00,2026-09-01T07:07:58.815949+00:00,26.0,,,92.0,3.7,1.03,140.0,1004.0,24.6,0.0,24h,IMD GeoServer (imd:synop_data_layer),LIVE
46842216,GANGOLIHAT,AWS,29.6577,80.0423,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,13.5,9.9,10.1,19.0,10.0,2.78,93.0,,9.9,2.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
55D01D44,GANGOLIHAT,AWS,29.65,80.04,2026-09-01T05:44:05+00:00,2026-09-01T07:07:58.815949+00:00,19.1,18.6,24.0,,9.82,2.73,,,0.0,10.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
468029FE,GANGOTRI,AWS,30.9936,78.9404,2026-03-13T04:08:17+00:00,2026-09-01T07:07:58.815949+00:00,-11.3,13.5,14.7,57.0,12.41,3.45,91.0,,-6.6,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46833D86,GARUD,AWS,29.8963,79.6133,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,10.7,22.0,22.7,18.0,7.04,1.95,21.0,,22.5,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
468231AE,GHANGARIYA,AWS,30.7021,79.5934,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,-8.5,,,27.0,12.78,3.55,78.0,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46826F00,GHAT,AWS,30.2563,79.4544,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,8.5,26.5,26.7,13.0,12.78,3.55,45.0,,26.6,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46825A9A,GOCHAR,AWS,30.292,79.1562,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,11.5,24.7,26.0,14.0,7.41,2.06,44.0,,11.8,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46844922,GUNJI,AWS,30.1862,80.8527,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,-7.1,,,29.0,4.82,1.34,111.0,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46839D7E,HALDWANI,AWS,29.2125,79.532,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,20.1,31.1,32.0,22.0,9.63,2.68,33.0,1018.6,14.3,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
55DE4950,HAPUR,AWS,28.8167,77.8167,2026-03-13T04:08:08+00:00,2026-09-01T07:07:58.815949+00:00,18.0,,,30.0,8.33,2.31,318.0,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
UPHPR000,HAPUR,AWS,28.739,77.8716,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,32.5,26.5,31.8,65.0,3.7,1.03,143.0,1007.2,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
46803A88,HARSIL,AWS,31.0372,78.7547,2026-03-13T04:08:17+00:00,2026-09-01T07:07:58.815949+00:00,-3.5,9.3,11.8,53.0,9.63,2.68,71.0,,10.4,0.5,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
UTHAB000,HATIBHARKALA,AWS,30.3431,78.056,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,24.5,23.4,31.4,100.0,5.56,1.54,214.0,1000.1,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
4682E914,JAGESHWAR,AWS,29.6381,79.8527,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,12.8,18.7,19.2,22.0,10.19,2.83,30.0,,19.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4682FA62,JAINTI,AWS,29.4816,79.8377,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,10.8,22.9,24.1,30.0,6.67,1.85,349.0,,23.4,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4682B968,JAKHOLI,AWS,30.3523,78.9449,2026-03-13T04:08:19+00:00,2026-09-01T07:07:58.815949+00:00,11.5,20.2,20.7,18.0,9.63,2.68,39.0,,6.8,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
55E410DC,JAKHOLI,AWS,30.39,78.89,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,,,,,11.3,3.14,,,0.0,23.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
46805F6E,JAN KI CHATTI,AWS,30.9777,78.441,2026-03-13T04:08:17+00:00,2026-09-01T07:07:58.815949+00:00,-2.7,12.6,13.6,54.0,14.45,4.01,42.0,,7.4,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4953DA22,JASPUR,AWS,29.27,78.83,2026-08-19T03:29:04+00:00,2026-09-01T07:07:58.815949+00:00,29.9,,-7.1,96.0,0.0,0.0,,1004.1,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4684611C,JAULJIBI,AWS,29.7541,80.3732,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,12.6,24.1,24.7,14.0,8.52,2.37,36.0,1009.5,20.5,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
A0A77440,JOLLYGRANT,AWS,30.19,78.18,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,30.1,25.6,34.3,92.0,7.41,2.06,110.0,1004.1,0.0,0.5,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
42116,JOSHIMATH,AWS,30.55,79.5667,2026-03-13T04:07:22+00:00,2026-09-01T07:07:58.815949+00:00,1.4,6.1,20.4,18.0,14.63,4.06,58.0,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4683A636,KALADHUNGI,AWS,29.329,79.5097,2026-03-13T04:08:20+00:00,2026-09-01T07:07:58.815949+00:00,16.6,29.7,30.7,23.0,10.0,2.78,42.0,1006.7,22.3,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46815D94,KALAGARH,AWS,29.4887,78.7605,2026-03-13T04:08:18+00:00,2026-09-01T07:07:58.815949+00:00,20.2,0.0,0.0,16.0,7.22,2.01,35.0,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
